# Drive Tray Harness — wiring diagram example.
# Blank lines are ignored. Lines starting with # are comments.
# Column names are matched case-insensitively; see parser.py for recognised aliases.
Signal,Left Connector,Left Pin,Right Connector,Right Pin,Wire Colour,Warning,Pair,Cable
L,33-pin Connector,1,1/4 female spade,,Black,Wires L/N/E are BLACK. Add 20mm sleeving before crimping spade terminals.,,Mains Flex
N,33-pin Connector,2,1/4 female spade,,Black,Wires L/N/E are BLACK. Add 20mm sleeving before crimping spade terminals.,,Mains Flex
E,33-pin Connector,3,1/4 female spade,,Black,Wires L/N/E are BLACK. Add 20mm sleeving before crimping spade terminals.,,Mains Flex

24v,33-pin Connector,4,Bootlace ferrule,,Red,,,
TTL-GND (power meter),33-pin Connector,5,Bootlace ferrule,,Green,,,
TX (out),33-pin Connector,6,Bootlace ferrule,,White,,,
RX (in),33-pin Connector,7,Bootlace ferrule,,Yellow,,,
3v3,33-pin Connector,8,Bootlace ferrule,,Blue,,,

Step+,33-pin Connector,9,44-way D-Sub,42,Purple,,TP1,Encoder Cable
Step-,33-pin Connector,10,44-way D-Sub,41,Red,,TP1,Encoder Cable
Dir+,33-pin Connector,11,44-way D-Sub,40,Green,,TP2,Encoder Cable
Dir-,33-pin Connector,12,44-way D-Sub,39,White,,TP2,Encoder Cable
Mode change,33-pin Connector,13,44-way D-Sub,23,Yellow,,,
Torque mode direction,33-pin Connector,14,44-way D-Sub,33,Blue,,,
Speed 0-10v,33-pin Connector,15,44-way D-Sub,19,Purple,,,
Torque 0-10v,33-pin Connector,16,44-way D-Sub,17,Red,,,
A-GND,33-pin Connector,17,44-way D-Sub,16,Green,,,
Servo-on input,33-pin Connector,18,44-way D-Sub,24,White,,,
Servo ready signal,33-pin Connector,19,44-way D-Sub,8,Yellow,,,
Fault,33-pin Connector,20,44-way D-Sub,2,Blue,,,
A+,33-pin Connector,21,44-way D-Sub,28,Purple,,TP3,Encoder Cable
A-,33-pin Connector,22,44-way D-Sub,13,Red,,TP3,Encoder Cable
B+,33-pin Connector,23,44-way D-Sub,29,Green,,TP4,Encoder Cable
B-,33-pin Connector,24,44-way D-Sub,14,White,,TP4,Encoder Cable
Z+,33-pin Connector,25,44-way D-Sub,30,Yellow,,TP5,Encoder Cable
Z-,33-pin Connector,26,44-way D-Sub,15,Blue,,TP5,Encoder Cable
AC-Relay +,33-pin Connector,27,3/16 female spade,,Purple,,TP6,
AC-Relay -,33-pin Connector,28,3/16 female spade,,Red,,TP6,
DO-Common,33-pin Connector,29,44-way D-Sub,20,Green,,,
GND,33-pin Connector,30,Bootlace ferrule (GND),,White,,,
DI-Common,33-pin Connector,31,44-way D-Sub,10,Yellow,,,

Notes
Mains flex must be rated for continuous use. Use heat-shrink sleeving on all spade terminals before assembly.
